airport,destination,slug,option,mode,fare_local,currency,fare_usd_mid,approx,time,stops,guide
LGA,Manhattan,lga-to-manhattan-new-york,Grand Central Express,bus,From $15,USD,15.0,True,45–70 min,non-stop,https://www.travelopshq.com/transit/lga-to-manhattan-new-york
LGA,Manhattan,lga-to-manhattan-new-york,Yellow Cab (metered),taxi,$55–80,USD,67.5,True,25–60 min,door-to-door,https://www.travelopshq.com/transit/lga-to-manhattan-new-york
LGA,Manhattan,lga-to-manhattan-new-york,Uber / Lyft,ride,$35–60,USD,47.5,True,25–65 min,door-to-door,https://www.travelopshq.com/transit/lga-to-manhattan-new-york
LHR,Central London,lhr-to-central-london,Elizabeth line,rail,£15.50,GBP,20.73,False,27–42 min,~8 stops,https://www.travelopshq.com/transit/lhr-to-central-london
LHR,Central London,lhr-to-central-london,Heathrow Express,regional,£10–£26,GBP,24.07,True,15 min,non-stop,https://www.travelopshq.com/transit/lhr-to-central-london
LHR,Central London,lhr-to-central-london,Piccadilly line,rail,£5.90,GBP,7.89,False,45–70 min,~20 stops,https://www.travelopshq.com/transit/lhr-to-central-london
LHR,Central London,lhr-to-central-london,Uber / rideshare,ride,£40–£70,GBP,73.55,True,45–75 min,door-to-door,https://www.travelopshq.com/transit/lhr-to-central-london
LIS,Central Lisbon,lis-to-central-lisbon,Metro Red + Green Line,rail,€1.90,EUR,2.17,False,30–45 min,15 stops,https://www.travelopshq.com/transit/lis-to-central-lisbon
LIS,Central Lisbon,lis-to-central-lisbon,Uber / Bolt / FREE NOW,ride,€12–€22,EUR,19.4,True,15–30 min,door-to-door,https://www.travelopshq.com/transit/lis-to-central-lisbon
LIS,Central Lisbon,lis-to-central-lisbon,Private transfer,car,€30–€55,EUR,48.51,True,20–35 min,door-to-door,https://www.travelopshq.com/transit/lis-to-central-lisbon
MEX,Central Mexico City,mex-to-central-mexico-city,Metro Line 5 + Line 1,rail,5 MXN,MXN,0.28,False,35–55 min,~11 stops,https://www.travelopshq.com/transit/mex-to-central-mexico-city
MEX,Central Mexico City,mex-to-central-mexico-city,Metrobús Line 4,bus,~$1.60,USD,1.6,True,45–70 min,~10 stops,https://www.travelopshq.com/transit/mex-to-central-mexico-city
MEX,Central Mexico City,mex-to-central-mexico-city,Uber / DiDi,ride,$10–19,USD,14.5,True,20–50 min,door-to-door,https://www.travelopshq.com/transit/mex-to-central-mexico-city
MEX,Central Mexico City,mex-to-central-mexico-city,Authorized taxi,taxi,$13–25,USD,19.0,True,25–50 min,door-to-door,https://www.travelopshq.com/transit/mex-to-central-mexico-city
MIA,Downtown Miami,mia-to-downtown-miami,MIA Mover + Metrorail,rail,$2.25,USD,2.25,False,35–45 min,7 rail stops,https://www.travelopshq.com/transit/mia-to-downtown-miami
MIA,Downtown Miami,mia-to-downtown-miami,Uber / Lyft,ride,$25–$55,USD,40.0,True,20–40 min,door-to-door,https://www.travelopshq.com/transit/mia-to-downtown-miami
MIA,Downtown Miami,mia-to-downtown-miami,Private transfer,car,$55–$80,USD,67.5,True,25–40 min,door-to-door,https://www.travelopshq.com/transit/mia-to-downtown-miami
MNL,Makati & BGC,mnl-to-makati-bgc-manila,Grab,ride,₱300–₱600,PHP,7.31,True,30–75 min,door-to-door,https://www.travelopshq.com/transit/mnl-to-makati-bgc-manila
MNL,Makati & BGC,mnl-to-makati-bgc-manila,Airport taxi (yellow),taxi,₱250–₱550,PHP,6.49,True,30–75 min,door-to-door,https://www.travelopshq.com/transit/mnl-to-makati-bgc-manila
MNL,Makati & BGC,mnl-to-makati-bgc-manila,UBE Express + Carousel,bus,₱150+,PHP,2.44,True,45–90 min,~7 stops,https://www.travelopshq.com/transit/mnl-to-makati-bgc-manila
MUC,Central Munich,muc-to-central-munich,S-Bahn S1 / S8,rail,€15.10,EUR,17.23,False,40–45 min,~15 stops,https://www.travelopshq.com/transit/muc-to-central-munich
MUC,Central Munich,muc-to-central-munich,Lufthansa Express Bus,bus,€12–€13,EUR,14.27,True,40–55 min,2 stops,https://www.travelopshq.com/transit/muc-to-central-munich
MUC,Central Munich,muc-to-central-munich,Taxi (metered),taxi,€90–€120,EUR,119.84,True,35–55 min,door-to-door,https://www.travelopshq.com/transit/muc-to-central-munich
NBO,Central Nairobi,nbo-to-central-nairobi,Kenya Railways bus+train,rail,~$1.15,USD,1.15,True,60–90 min,4 rail stops,https://www.travelopshq.com/transit/nbo-to-central-nairobi
NBO,Central Nairobi,nbo-to-central-nairobi,Route 34 (Citi Hoppa),bus,~$0.80,USD,0.8,True,60–100 min,,https://www.travelopshq.com/transit/nbo-to-central-nairobi
NBO,Central Nairobi,nbo-to-central-nairobi,Uber / Bolt (Expressway),ride,~$10–15,USD,12.5,True,20–35 min,door-to-door,https://www.travelopshq.com/transit/nbo-to-central-nairobi
NBO,Central Nairobi,nbo-to-central-nairobi,KAA fixed-rate taxi,taxi,~$15–27,USD,21.0,True,25–120 min,door-to-door,https://www.travelopshq.com/transit/nbo-to-central-nairobi
NRT,Central Tokyo,nrt-to-central-tokyo,Keisei Skyliner,rail,"¥2,580",JPY,15.87,False,36–41 min,non-stop,https://www.travelopshq.com/transit/nrt-to-central-tokyo
NRT,Central Tokyo,nrt-to-central-tokyo,N'EX (Narita Express),regional,"¥3,140+",JPY,19.32,True,60–85 min,~2 stops,https://www.travelopshq.com/transit/nrt-to-central-tokyo
NRT,Central Tokyo,nrt-to-central-tokyo,AIRPORT BUS TYO-NRT,bus,"¥1,500",JPY,9.23,False,65–100 min,non-stop,https://www.travelopshq.com/transit/nrt-to-central-tokyo
NRT,Central Tokyo,nrt-to-central-tokyo,Taxi (fixed-fare),taxi,"¥29,000–32,500",JPY,189.21,True,60–90 min,door-to-door,https://www.travelopshq.com/transit/nrt-to-central-tokyo
ORD,Downtown Chicago,ord-to-downtown-chicago,CTA Blue Line,rail,$5.00,USD,5.0,False,40–45 min,16 stops,https://www.travelopshq.com/transit/ord-to-downtown-chicago
ORD,Downtown Chicago,ord-to-downtown-chicago,Metra North Central,regional,$3.75,USD,3.75,False,~40 min,6 rail stops,https://www.travelopshq.com/transit/ord-to-downtown-chicago
ORD,Downtown Chicago,ord-to-downtown-chicago,Uber / Lyft,ride,$40–$65,USD,52.5,True,30–55 min,door-to-door,https://www.travelopshq.com/transit/ord-to-downtown-chicago
ORD,Downtown Chicago,ord-to-downtown-chicago,Taxi (metered),taxi,$70–$90,USD,80.0,True,30–60 min,door-to-door,https://www.travelopshq.com/transit/ord-to-downtown-chicago
PEK,Central Beijing,pek-to-central-beijing,Airport Express + Subway,rail,¥28–30,CNY,4.26,True,45–65 min,~9 stops,https://www.travelopshq.com/transit/pek-to-central-beijing
PEK,Central Beijing,pek-to-central-beijing,Airport Bus,bus,¥20–30,CNY,3.67,True,60–100 min,,https://www.travelopshq.com/transit/pek-to-central-beijing
PEK,Central Beijing,pek-to-central-beijing,Didi Express,ride,¥90–150,CNY,17.62,True,40–75 min,door-to-door,https://www.travelopshq.com/transit/pek-to-central-beijing
PEK,Central Beijing,pek-to-central-beijing,Taxi (metered),taxi,¥100–150,CNY,18.35,True,35–70 min,door-to-door,https://www.travelopshq.com/transit/pek-to-central-beijing
PRG,Central Prague,prg-to-central-prague,Trolleybus 59 + Metro A,bus,50 CZK,CZK,2.35,False,45–60 min,7 metro stops,https://www.travelopshq.com/transit/prg-to-central-prague
PRG,Central Prague,prg-to-central-prague,Airport Express (AE) bus,bus,200 CZK,CZK,9.41,False,35–45 min,2 stops,https://www.travelopshq.com/transit/prg-to-central-prague
PRG,Central Prague,prg-to-central-prague,Bolt / Uber,ride,~€16–24,EUR,22.83,True,25–40 min,door-to-door,https://www.travelopshq.com/transit/prg-to-central-prague
PVG,Central Shanghai,pvg-to-central-shanghai,Metro Line 2 direct,rail,¥7–8,CNY,1.1,True,60–75 min,~18 stops,https://www.travelopshq.com/transit/pvg-to-central-shanghai
PVG,Central Shanghai,pvg-to-central-shanghai,Maglev + Metro Line 2,rail,¥54–56,CNY,8.08,True,50–65 min,8 stops,https://www.travelopshq.com/transit/pvg-to-central-shanghai
PVG,Central Shanghai,pvg-to-central-shanghai,Official Taxi (metered),taxi,¥185–250,CNY,31.94,True,45–90 min,door-to-door,https://www.travelopshq.com/transit/pvg-to-central-shanghai
SEA,Downtown Seattle,sea-to-downtown-seattle,Link Light Rail (1 Line),rail,$3.00,USD,3.0,False,38–40 min,12 stops,https://www.travelopshq.com/transit/sea-to-downtown-seattle
SEA,Downtown Seattle,sea-to-downtown-seattle,Premier Airport Shuttle,bus,~$30,USD,30.0,True,45–75 min,,https://www.travelopshq.com/transit/sea-to-downtown-seattle
SEA,Downtown Seattle,sea-to-downtown-seattle,Uber / Lyft,ride,$40–65,USD,52.5,True,25–55 min,door-to-door,https://www.travelopshq.com/transit/sea-to-downtown-seattle
