airport,destination,slug,option,mode,fare_local,currency,fare_usd_mid,approx,time,stops,guide
DEN,Downtown Denver,den-to-downtown-denver,Yellow / Metro Taxi,taxi,$66–80,USD,73.0,True,35–55 min,door-to-door,https://www.travelopshq.com/transit/den-to-downtown-denver
DOH,Central Doha,doh-to-central-doha,Metro Red Line,rail,QAR 2,QAR,0.55,False,16–25 min,5 stops,https://www.travelopshq.com/transit/doh-to-central-doha
DOH,Central Doha,doh-to-central-doha,Uber / Ride-Hailing,ride,QAR 45–80,QAR,17.17,True,15–35 min,door-to-door,https://www.travelopshq.com/transit/doh-to-central-doha
DOH,Central Doha,doh-to-central-doha,Karwa Taxi,taxi,QAR 40–75,QAR,15.8,True,18–38 min,door-to-door,https://www.travelopshq.com/transit/doh-to-central-doha
DUB,Central Dublin,dub-to-central-dublin,Aircoach 700,bus,€6–€10,EUR,9.13,True,20–40 min,2 stops,https://www.travelopshq.com/transit/dub-to-central-dublin
DUB,Central Dublin,dub-to-central-dublin,Dublin Express 782,bus,from €9,EUR,10.27,True,20–35 min,2 stops,https://www.travelopshq.com/transit/dub-to-central-dublin
DUB,Central Dublin,dub-to-central-dublin,Dublin Bus 16/19/41,bus,€2.00,EUR,2.28,False,40–70 min,,https://www.travelopshq.com/transit/dub-to-central-dublin
DUB,Central Dublin,dub-to-central-dublin,Taxi / Free Now,taxi,€30–€45,EUR,42.8,True,20–50 min,door-to-door,https://www.travelopshq.com/transit/dub-to-central-dublin
DXB,Downtown Dubai,dxb-to-downtown-dubai,Metro Red Line,rail,AED 5–6,AED,1.5,True,25–30 + walk,12 stops,https://www.travelopshq.com/transit/dxb-to-downtown-dubai
DXB,Downtown Dubai,dxb-to-downtown-dubai,Uber / Careem,ride,AED 45–70,AED,15.66,True,20–25 min,door-to-door,https://www.travelopshq.com/transit/dxb-to-downtown-dubai
DXB,Downtown Dubai,dxb-to-downtown-dubai,Metered RTA Taxi,taxi,AED 55–80,AED,18.38,True,25–45 min,door-to-door,https://www.travelopshq.com/transit/dxb-to-downtown-dubai
EWR,Manhattan,ewr-to-manhattan-new-york,AirTrain + NJ Transit,regional,$17.25,USD,17.25,False,45–75 min,,https://www.travelopshq.com/transit/ewr-to-manhattan-new-york
EWR,Manhattan,ewr-to-manhattan-new-york,Newark Airport Express,bus,$19,USD,19.0,False,45–75 min,3 Midtown stops,https://www.travelopshq.com/transit/ewr-to-manhattan-new-york
EWR,Manhattan,ewr-to-manhattan-new-york,Uber / Lyft,ride,$60–110,USD,85.0,True,35–65 min,door-to-door,https://www.travelopshq.com/transit/ewr-to-manhattan-new-york
FCO,Central Rome,fco-to-central-rome,Leonardo Express,regional,€14,EUR,15.98,False,32 min,non-stop,https://www.travelopshq.com/transit/fco-to-central-rome
FCO,Central Rome,fco-to-central-rome,FL1 Regional Train,regional,€8,EUR,9.13,False,27–34 min,7 stops,https://www.travelopshq.com/transit/fco-to-central-rome
FCO,Central Rome,fco-to-central-rome,Terravision / SIT coach,bus,€4–€7,EUR,6.28,True,45–75 min,non-stop,https://www.travelopshq.com/transit/fco-to-central-rome
FCO,Central Rome,fco-to-central-rome,Official Taxi (fixed),taxi,€55,EUR,62.78,False,40–70 min,door-to-door,https://www.travelopshq.com/transit/fco-to-central-rome
FRA,Central Frankfurt,fra-to-central-frankfurt,S-Bahn S8 / S9,rail,€6.90,EUR,7.88,False,11 min,4 stops,https://www.travelopshq.com/transit/fra-to-central-frankfurt
FRA,Central Frankfurt,fra-to-central-frankfurt,ICE / Regional Express,regional,€6.90+,EUR,7.88,True,9–15 min,non-stop,https://www.travelopshq.com/transit/fra-to-central-frankfurt
FRA,Central Frankfurt,fra-to-central-frankfurt,Taxi (metered),taxi,€35–€50,EUR,48.51,True,20–35 min,door-to-door,https://www.travelopshq.com/transit/fra-to-central-frankfurt
